"Invoice maturity: %s days","Vervaldatum van de factuur: %s Tage"
"Invoice Maturity","Vervaldatum van de factuur"
"Days after the invoice is due. Leave this field blank to hide the message on the invoice.","Aantal dagen waarna de factuur is verlopen. Laat dit veld leeg om de melding te verbergen op de factuur."
"Invoice is payable immediately","De factuur is betaalbaar direct"
"Invoice date is equal to delivery date.","Factuurdatum is gelijk aan de verzending."
"Payment method:","Betaalmethode:"
"Shipping method:","Verzendmethode:"
"Payment method: %s","Betaalmethode: %s"
"Shipping method: %s","Verzendmethode: %s"
"Page","Pagina"
"Telephone:","Telefoon:"
"Fax:","Fax:"
"E-Mail:","E-mail:"
"Web:","Website:"
"Bank name:","Banknaam:"
"Account:","Rekeningnummer:"
"Bank number:","Bank nummer:"
"Account owner:","Ten name van:"
"SWIFT:","SWIFT:"
"IBAN:","IBAN:"
"Tax number:","BTW-Nummer:"
"VAT-ID:","BTW-nr.:"
"Register number:","HRB Nummer:"
"CEO:","Directeur:"
"Pos","Pos."
"No.","Artikelnummer"
"Description","Omschrijving"
"Price (excl. tax)","Prijs (Incl. BTW)"
"Amount","Bedrag"
"Tax","BTW"
"Total","Totaal"
"Invoice","Factuur"
"Creditmemo","Creditfactuur"
"Order number:","Bestelnr.:"
"Invoice number:","Factuurnr.:"
"Shipment number:","Verzendnr.:"
"Creditmemo number:","Creditfactuurnr.:"
"Customer number:","Klantnr.:"
"Customer IP:","Klant IP:"
"Invoice date:","Factuurdatum:"
"Shipping date:","Verzenddatum:"
"Date:","Datum:"
"Additional tax %s","Extra BTW %s"
"Subtotal:","Subtotaal:"
"Shipping:","Verzending:"
"Grand Total:","Eindtotaal:"
"Guestorder","Gastbestelling"
"PDF Engine","PDF Engine"
"Note","Notitie"
"Printed on every invoice.","Wordt op elke factuur afgedrukt."
"Printed on every shipment.","Wordt op elke verzending afgedrukt."
"Printed on every credit memo.","Wordt op elke creditfactuur afgedrukt."
"PDF Creation","PDF's Aanmaken"
"Sender Address Bar","Afzenderadres"
"Show Footer","Toon Footer"
"Logo Position","Logo Positie"
"Left","Links"
"Center","Midden"
"Right","Reechts"
"Standard Magento","Standaard Magento"
"Standard Germany","Standaard Duitsland"
"Show Payment Method","Toon betaalmethode"
"Hide payment method","Verberg betaalmethode"
"Header","Document-header"
"Notes area","Notitie-ruimte"
"Position of payment method on invoice.","Positie van de betaalmethode op de factuur"
"Show Shipping Method","Toon verzendmethode"
"Hide shipping method","Verberg verzendmethode"
"Position of shipping method on invoice.","Positie van de verzendmethode op de factuur"
"not to be listed","niet getoond"
"Show Item Discount","Toon korting van item"
"You get a discount of %s.","U krijg een korting van %s."
"Tax amount",BTW-bedrag
"Price (incl. tax)","Prijs (Excl. BTW)"
"Subtotal (incl. tax)","Subtotaal (Excl. BTW)"
"Order of price columns of items","Volgorde van de prijs-kolommen van items"
"Define the order by moving the following items using your mouse:","Stel de volgorde in door deze met uw muis te verslepen"
"Tax rate",BTW-bedrag
"Total (incl. tax)","Totaal (Excl. BTW)"
