"Invoice maturity: %s days","Fälligkeit der Rechnung: %s Tage"
"Invoice Maturity","Fälligkeit der Rechnung"
"Days after the invoice is due. Leave this field blank to hide the message on the invoice.","Tage, nach denen die Rechnung fällig ist. Feld leer lassen, um den Text auf der Rechnung zu verbergen."
"Invoice is payable immediately","Die Rechnung ist sofort fällig."
"Invoice date is equal to delivery date.","Rechnungsdatum ist gleich dem Lieferdatum."
"Payment method:","Zahlungsart:"
"Shipping method:","Versandart:"
"Payment method: %s","Zahlungsart: %s"
"Shipping method: %s","Versandart: %s"
"Page","Seite"
"Telephone:","Telefon:"
"Fax:","Fax:"
"E-Mail:","E-Mail:"
"Web:","Web:"
"Bank name:","Kreditinstitut:"
"Account:","Kontonummer:"
"Bank number:","BLZ:"
"Account owner:","Kontoinhaber:"
"SWIFT:","SWIFT:"
"IBAN:","IBAN:"
"Tax number:","Steuernummer:"
"VAT-ID:","USt-IdNr.:"
"Register number:","HRB Nummer:"
"CEO:","Geschäftsführer:"
"Pos","Pos."
"No.","Artikelnummer"
"Description","Beschreibung"
"Price (excl. tax)","Preis (Netto)"
"Amount","Betrag"
"Tax","USt."
"Total","Summe"
"Invoice","Rechnung"
"Creditmemo","Gutschrift"
"Order number:","Bestellnummer:"
"Invoice number:","Rechnungsnummer:"
"Shipment number:","Lieferscheinnummer:"
"Creditmemo number:","Gutschriftsnummer:"
"Customer number:","Kundennummer:"
"Customer IP:","Kunden IP:"
"Invoice date:","Rechnungsdatum:"
"Shipping date:","Versanddatum:"
"Date:","Datum:"
"Additional tax %s","Zusätzliche Steuern %s"
"Subtotal:","Zwischensumme:"
"Shipping:","Versand:"
"Grand Total:","Gesamtsumme:"
"Guestorder","Gastbestellung"
"PDF Engine","PDF Engine"
"Note","Notiz"
"Printed on every invoice.","Wird auf jede Rechnung gedruckt."
"Printed on every shipment.","Wird auf jeden Lieferschein gedruckt."
"Printed on every credit memo.","Wird auf jede Gutschrift gedruckt."
"PDF Creation","PDF Erstellung"
"Sender Address Bar","Absenderadresse"
"Show Footer","Zeige Footer"
"Logo Position","Logo Position"
"Left","Links"
"Center","Mittig"
"Right","Rechts"
"Standard Magento","Standard Magento"
"Standard FireGento","Standard FireGento"
"Show Payment Method","Zahlungsart anzeigen"
"Hide payment method","Nicht anzeigen"
"Header","Dokumenten-Kopf"
"Notes area","Notizbereich"
"Position of payment method on invoice.","Position der Zahlungart auf der Rechnung."
"Show Shipping Method","Versandart anzeigen"
"Hide shipping method","Nicht anzeigen"
"Position of shipping method on invoice.","Position der Versandart auf der Rechnung."
"Position of shipping method on shipment.","Position der Versandart auf dem Lieferschein."
"not to be listed","nicht aufzulisten"
"Show Invoice Comments","Rechnungskommentare anzeigen"
"Show Shipment Comments","Lieferscheinkommentare anzeigen"
"Show Credit Memo Comments","Gutschriftenkommentare anzeigen"
"Show Item Discount","Rabatt auf Artikelebene anzeigen"
"You get a discount of %s.","Sie erhalten einen Rabatt von %s."
"Tax amount","Steuerbetrag"
"Price (incl. tax)","Preis (Brutto)"
"Subtotal (incl. tax)","Zwischensumme (Brutto)"
"Order of price columns of items","Reihenfolge der Spalten in der Artikelliste"
"Define the order by moving the following items using your mouse:","Legen Sie die Reihenfolge durch Verschieben der Einträge mit der Maus fest:"
"Tax rate","Steuersatz"
"Total (incl. tax)","Gesamt (brutto)"
"Show Date Notice","Anzeige des Datums im Notizbereich"
"Show Notice: Invoice date is equal to delivery date.","Zeige im Notizbereich: Rechnungsdatum ist gleich dem Lieferdatum."
"Show Customer Number","Kundennummer anzeigen"
"Show Customer TAX/VAT Number","USt-IdNr."
"Full width","volle Breite"
"Full width means that the logo starts at the upper left corner and is drawn to the right edge. There is no left or right margin for printing.","""volle Breite"" bedeutet, dass das Logo über die komplette Seite von oben links bis zum rechten Rand gezogen wird. Es verbleibt kein Druckrand."
"Show Order ID as Barcode","Bestellnummer als Barcode anzeigen."
"Prints the order ID as a barcode on the right hand side.","Zeigt die Bestellnummer als Barcode auf der rechten Seite an."
"Left: Customer address left, Invoice details right. Right: Invoice details left, Customer address right.","Links: Kundenadresse links, Rechnungsdetails rechts. Rechts: Rechnungsdetails links, Kundenadresse rechts"
"Show address above shipping/invoice address","Zeige Adresse über Empfängeradresse"
"Fonts for PDF Creation","Schriftarten für PDF Erstellung"
"You can upload your own fonts (*.ttf) instead of using Zends Helvetica","Sie können eigene Schriften (*.ttf) hochladen, statt Zends Helvetica zu benutzen."
"Registered seat:","Sitz:"
"Register court:","Amtsgericht:"
