"Billing address","Adresse de facturation"
"Shipping address","Adresse de livraison"
"Invoice number:","Facture n° :"
"Order number:","Commande n° :"
"Customer number:","N° client :"
"Invoice date:","Date de commande :"
"Facturer","Facture"
"No.","N°"
"Price (incl. tax)","Prix TTC"
"Tax item","TVA"
"Total (incl. tax)","Total"
"Tax","Montant TVA total"
"Tax Section","Montant TVA total"
"Mage_Sales::Tax","Montant TVA total"
"Mage_Sales::Tax Section","Montant TVA total"
"Payment method: %s","Mode de paiement: %s"
"Shipping method: %s","Mode de livraison: %s"
