"Invoice maturity: %s days","Vervaldatum van de factuur: %s dagen"
"Invoice Maturity","Vervaldatum van de factuur"
"Days after the invoice is due. Leave this field blank to hide the message on the invoice.","Aantal dagen waarna de factuur is verlopen. Laat dit veld leeg om de melding te verbergen op de factuur."
"Invoice is payable immediately","De factuur is direct betaalbaar"
"Invoice date is equal to delivery date.","Factuurdatum is gelijk aan de verzenddatum."
"Payment method:","Betaalmethode:"
"Shipping method:","Verzendmethode:"
"Payment method: %s","Betaalmethode: %s"
"Shipping method: %s","Verzendmethode: %s"
"Page","Pagina"
"Telephone:","Telefoon:"
"Fax:","Fax:"
"E-Mail:","E-mail:"
"Web:","Website:"
"Bank name:","Banknaam:"
"Account:","Rekeningnummer:"
"Bank number:","Banknummer:"
"Account owner:","Ten name van:"
"SWIFT:","SWIFT:"
"IBAN:","IBAN:"
"Tax number:","BTW-nummer:"
"VAT-ID:","BTW-nr.:"
"Register number:","HRB-nummer:"
"CEO:","Directeur:"
"Pos","Pos."
"No.","Artikelnummer"
"Description","Omschrijving"
"Price (excl. tax)","Prijs (excl. BTW)"
"Amount","Bedrag"
"Tax","BTW"
"Total","Totaal"
"Invoice","Factuur"
"Creditmemo","Creditfactuur"
"Order number:","Bestelnummer:"
"Invoice number:","Factuurnummer:"
"Shipment number:","Verzendnummer:"
"Creditmemo number:","Creditfactuurnummer:"
"Customer number:","Klantnummer:"
"Customer IP:","Klant IP:"
"Invoice date:","Factuurdatum:"
"Shipping date:","Verzenddatum:"
"Date:","Datum:"
"Additional tax %s","Extra BTW %s"
"Subtotal:","Subtotaal:"
"Shipping:","Verzending:"
"Grand Total:","Eindtotaal:"
"Guestorder","Gastbestelling"
"PDF Engine","PDF Engine"
"Note","Notitie"
"Printed on every invoice.","Wordt op elke factuur afgedrukt."
"Printed on every shipment.","Wordt op elke verzending afgedrukt."
"Printed on every credit memo.","Wordt op elke creditfactuur afgedrukt."
"PDF Creation","PDF's Aanmaken"
"Sender Address Bar","Afzenderadres"
"Show Footer","Toon Footer"
"Logo Position","Logo Positie"
"Left","Links"
"Center","Midden"
"Right","Reechts"
"Standard Magento","Standaard Magento"
"Standard FireGento","Standaard FireGento"
"Show Payment Method","Toon betaalmethode"
"Hide payment method","Verberg betaalmethode"
"Header","Document-header"
"Notes area","Notitie-ruimte"
"Position of payment method on invoice.","Positie van de betaalmethode op de factuur"
"Show Shipping Method","Toon verzendmethode"
"Hide shipping method","Verberg verzendmethode"
"Position of shipping method on invoice.","Positie van de verzendmethode op de factuur"
"Position of shipping method on shipment.","Position of shipping method on shipment."
"not to be listed","niet getoond"
"Show Invoice Comments","Toon factuurnotities"
"Show Item Discount","Toon korting van item"
"You get a discount of %s.","U krijg een korting van %s."
"Tax amount","BTW-bedrag"
"Price (incl. tax)","Prijs (incl. BTW)"
"Subtotal (incl. tax)","Subtotaal (incl. BTW)"
"Order of price columns of items","Volgorde van de item prijskolommen"
"Define the order by moving the following items using your mouse:","Stel de volgorde in door deze met uw muis te verslepen"
"Tax rate",BTW-bedrag
"Total (incl. tax)","Totaal (incl. BTW)"
"Show Date Notice","Toon opmerking omtrent datum"
"Show Notice: Invoice date is equal to delivery date.","Toon opmerking: Factuurdatum is gelijk aan de verzenddatum."
"Show Customer Number","Toon klantnummer"
"Full width","Volledige breedte"
"Full width means that the logo starts at the upper left corner and is drawn to the right edge. There is no left or right margin for printing.","Volledige breedte betekent dat het logo in de linker bovenhoek begint t/m de rechter bovenhoek. Er is geen linker of rechter marge bij het printen."
"Show Order ID as Barcode","Toon Bestelnummer als barcode"
"Prints the order ID as a barcode on the right hand side.","Print het bestelnummer als een barcode aan de rechterkant."
